name,alt_name,swatch_image_url,path_to_image,path_to_returned_color,most_common_hex,most_common_rgb
Italian Lemon Ochre,#6000014,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Lemon_Ochre_Swatch.jpg,./images/italian_lemon_ochre_swatch.jpg,./returned_colors/italian_lemon_ochre_returned.jpg,#c29527,"[194, 149, 39]"
Italian Orange Ochre,#6000016,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Orange_Ochre_Swatch-1.jpg,./images/italian_orange_ochre_swatch.jpg,./returned_colors/italian_orange_ochre_returned.jpg,#8f5220,"[143, 82, 32]"
Italian Pink,#6001474,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Pink_Swatch.jpg,./images/italian_pink_swatch.jpg,./returned_colors/italian_pink_returned.jpg,#302520,"[48, 37, 32]"
Italian Pompeii Red,#6000018,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Pompeii_Red_Swatch.jpg,./images/italian_pompeii_red_swatch.jpg,./returned_colors/italian_pompeii_red_returned.jpg,#9c4a2b,"[156, 74, 43]"
Italian Pozzuoli Earth,#6000020,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Pozzuoli_Earth_Swatch.jpg,./images/italian_pozzuoli_earth_swatch.jpg,./returned_colors/italian_pozzuoli_earth_returned.jpg,#884123,"[136, 65, 35]"
Italian Raw Sienna,#6000024,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Raw_Sienna_Swatch.jpg,./images/italian_raw_sienna_swatch.jpg,./returned_colors/italian_raw_sienna_returned.jpg,#7d5624,"[125, 86, 36]"
Italian Raw Umber,#6000025,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Raw_Umber_Swatch.jpg,./images/italian_raw_umber_swatch.jpg,./returned_colors/italian_raw_umber_returned.jpg,#3a3829,"[58, 56, 41]"
Italian Rosso Veneto,#6000019,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Terra_Rosa_Swatch.jpg,./images/italian_rosso_veneto_swatch.jpg,./returned_colors/italian_rosso_veneto_returned.jpg,#854a2a,"[133, 74, 42]"
Italian Terra Rosa,#6000021,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Rosso_Veneto_Swatch.jpg,./images/italian_terra_rosa_swatch.jpg,./returned_colors/italian_terra_rosa_returned.jpg,#883f24,"[136, 63, 36]"
Italian Terra Verte,#6000013,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Terra_Verte_Swatch.jpg,./images/italian_terra_verte_swatch.jpg,./returned_colors/italian_terra_verte_returned.jpg,#4d6c47,"[77, 108, 71]"
Italian Yellow Ochre,#6000015,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Yellow_Ochre_Swatch.jpg,./images/italian_yellow_ochre_swatch.jpg,./returned_colors/italian_yellow_ochre_returned.jpg,#ab8129,"[171, 129, 41]"
Ivory Black,#6001721,https://goldenhub.goldenpaints.com/storage/uploads/Ivory_Black_Swatch.jpg,./images/ivory_black_swatch.jpg,./returned_colors/ivory_black_returned.jpg,#191e20,"[25, 30, 32]"
